,Company,ID,Facility,CountryName,Sector,TotQ,FosQ,BioQ,BioPerc,Lat,Long
29,"Stora Enso Oyj, Varkauden tehtaat",7249,"Stora Enso Oyj, Varkauden tehtaat",Finland,Manufacture of pulp,0.62,0.0671,0.5529,89.0,62.317769999999996,27.89775
30,Vallviks Bruk,7764,Vallviks Bruk,Sweden,Manufacture of pulp,0.619,0.00529,0.61371,99.0,61.18824933,17.18280888
31,Mondi Dynäs AB,7919,Mondi Dynäs AB,Sweden,Manufacture of paper and paperboard,0.574,0.00884,0.56516,98.0,62.97420348,17.72348696
0,Framondi N.V. z siedzib w Holandii,21752,Mondi wiecie S.A.,Poland,Manufacture of paper and paperboard,1.84,,1.84,,53.398541,18.397101
1,"Portucel, S.A.",5476,Complexo Industrial de Setúbal da Portucel,Portugal,Manufacture of pulp,1.41,,1.36,,38.4933,-8.80816
2,CELULOSAS DE ASTURIAS S.A.,8866,CEASA ENCE- FÁBRICA DE NAVIA,Spain,Manufacture of pulp,1.33,,1.24,,43.541109999999996,-6.721139999999999
3,Burgo Ardennes,15088,BURGO ARDENNES sa,Belgium,Manufacture of pulp,1.07,,0.94,,49.5499,5.5042
4,"Celulose Beira Industrial (Celbi), S.A",5368,"Celulose Beira Industrial (Celbi), S.A.",Portugal,Manufacture of pulp,1.04,,0.97,,40.053571000000005,-8.873595
5,"SOPORCEL - Sociedade Portuguesa de Papel, S.A.",5410,"SOPORCEL- Sociedade Portuguesa de Papel, (Instalação)",Portugal,Manufacture of paper and paperboard,1.03,,0.94,,40.0588,-8.856639999999999
6,FIBRE EXCELLENCE Saint-Gaudens,4618,FIBRE EXCELLENCE Saint-Gaudens,France,Manufacture of pulp,0.925,,0.89,,43.12,0.73
7,Fibre Excellence Tarascon,4250,Fibre Excellence Tarascon,France,Manufacture of pulp,0.839,,0.79,,43.79,4.68
8,CELCACIA - Celulose de Cacia SA,5388,Fábrica de Cacia (Portucel),Portugal,Manufacture of pulp,0.789,,0.79,,40.6846,-8.58976
9,Stora Enso Nymölla AB,6391,STORA ENSO NYMÖLLA AB,Sweden,Manufacture of paper and paperboard,0.7,,0.67,,56.04379387,14.47984532
10,"CELTEJO - Empresa de Celulose do Tejo, S. A.",5392,"CELTEJO,Empresa de Celulose do Tejo,S.A.",Portugal,Manufacture of pulp,0.681,,0.63,,39.6615,-7.669789999999999
11,STORA ENSO LANGERBRUGGE,14634,STORA ENSO LANGERBRUGGE,Belgium,Manufacture of paper and paperboard,0.653,,0.54,,51.107063000000004,3.7326386
12,Heinzel AG,65062,Zellstoff Pöls Aktiengesellschaft,Austria,Manufacture of paper and paperboard,0.583,,0.53,,47.2175,14.590389000000002
13,"Europa&c Kraft Viana, SA",5389,Europa&c Kraft Viana,Portugal,Manufacture of paper and paperboard,0.559,,0.53,,41.7037,-8.7124
14,Holmen UK Limited,13111,Workington Boardmill,United Kingdom,Manufacture of paper and paperboard,0.556,,0.56,,54.6669,-3.54578
15,MONDI STAMBOLIYSKI,65916,MONDI STAMBOLIYSKI EAD,Bulgaria,Manufacture of paper and paperboard,0.53,,0.51,,42.134639,24.522257999999997
