REGISTRY_CODE,IDENTIFIER_IN_REG,INSTALLATION_NAME,INSTALLATION_IDENTIFIER,PERMIT_IDENTIFIER,MAIN_ACTIVITY_TYPE_CODE,Comment,PRTR_ID,tot,bio,est_bio,Verified,ALLOCATED_2015,ALLOCATED_RESERVE_2015,ALLOCATED_TRANSITIONAL_2015,,ACCOUNT_CLOSURE
FR,CPTE UNIVERSITE DE BOURGOGNE,Chaufferie Centrale Campus Universitaire de Dijon,135,5401101,20,,,,,,-1,0,0,0,,01-jul-15
RO,Operator Account,SC HOLZINDUSTRIE SCHWEIGHOFER SRL,135,RO-AB-01-2006,1,,,,,,-1,-1,-1,-1,,OPEN
BE,136 Bekaert site Aalter,Bekaert site Aalter,136,VL511,20,,,,,,-1,0,0,0,,OPEN
ES,Ladrillos Las Nieves S.L.L.,Ladrillos Las Nieves S.L.L.,136,ES011808000147,8,,,,,,-1,1465,0,0,,OPEN
BG,Rafinery Plama EAD,Rafinery Plama,136,BG-P146,21,,,,,,-1,-1,-1,-1,,OPEN
GR,KATSIKIS,??????????? ?.???????? ?.?.,138,08-sep,32,,,,,,-1,0,0,0,,OPEN
GR,ARGOKERAM,????????? ?????? ?.?.?.?.,139,9-31,32,,,,,,-1,1786,0,0,,OPEN
GR,KALOGIANNI,??????????? ?.-??????????? ?. ?.?.,140,30-sep,32,,,,,,-1,0,0,0,,OPEN
IT,Operator Account,S.p.A. Egidio Galbani - Stabilimento di Caravaggio,140,IT-A-168,20,,,,,,-1,0,0,0,,OPEN
ES,Las Tres Cerámicas S.A.,Las Tres Cerámicas S.A.,141,ES011108000152,32,,,,,,-1,-1,-1,-1,,OPEN
PT,159-Natural - Industria de Papel Lda.,Luís Santos & Monteiro SA,141,70,35,,,,,,-1,3322,0,0,,OPEN
PL,CIEP?OWNIA CENTRALNA,CIEP?OWNIA CENTRALNA CHE?M,142,PL-0193-05,1,,,,,,-1,45692,0,0,,OPEN
PL,CIEP?OWNIA SZCZYTOWA,CIEP?OWNIA SZCZYTOWA CHE?M,143,PL-0194-05,1,,,,,,-1,610,0,0,,OPEN
FR,centrale de Lucy,LA SNET - Centrale de Lucy,143,5401195,20,,,,,,-1,-1,-1,-1,,OPEN
PL,Centralna Ciep?ownia w Lubinie,CENTRALNA CIEP?OWNIA W LUBINIE,144,PL-0197-05,1,,,,,,-1,0,0,0,,OPEN
AT,Mondi Frohnleiten GmbH,Mondi Packaging Frohnleiten,144,IPA093,36,,,,,,-1,0,0,0,,OPEN
RO,Operator Account,SC STG STEEL SRL - punct de lucru Focsani,144,RO-96-2013,25,,,,,,-1,0,6412,0,,OPEN
PT,163- CELCACIA- Celulose de Cacia S.A.,Centro Fabril de Cacia,145,145,35,paper,5388,0.789,,0.79,-1,29215,0,0,,OPEN
PL,CIEP?OWNIA,CIEP?OWNIA,145,PL-0199-05,20,,,,,,-1,16894,0,0,,22-sep-15
BG,KZ Razdelna,KZ Razdelna,145,BG-P149,32,,,,,,-1,0,0,0,,OPEN
GB,Operator Account,Derwent Power Station,146,GB-EA-ETCO2-0160,1,,,,,,-1,-1,-1,-1,,OPEN
RO,Operator Account,SC Letea SA Bacau,146,RO-01-05-2007,9,,,,,,-1,-1,-1,-1,,OPEN
PT,164-Tinturaria e Acabamentos de Tecidos Vale de Tábua,Tinturaria e Acabamentos de Tecidos Vale de Tábua,146,119,20,,,,,,-1,-1,-1,-1,,OPEN
